,0
0,4.611546
1,4.611546
2,4.611546
3,4.611546
4,4.8921194
5,4.672178
6,4.8921194
7,5.2158732
8,5.9383435
9,5.950842
10,5.950842
11,5.9383435
12,5.9383435
13,5.369676
14,5.9383435
15,5.9383435
16,5.950842
17,5.9383435
18,5.5964093
19,4.611546
20,5.9383435
21,5.9383435
22,5.9383435
23,5.9383435
24,5.950842
25,6.5044403
26,6.5044403
27,6.5044403
28,5.9383435
29,4.611546
30,6.8941226
31,5.998959
32,5.4207277
33,6.239271
34,6.239271
35,6.641747
36,7.1953464
37,7.1953464
38,7.1953464
39,7.1953464
40,7.299837
41,7.4210973
42,7.2594366
43,7.2594366
44,7.2594366
45,7.2594366
46,7.2594366
47,7.2594366
48,7.2594366
49,7.2594366
50,7.7773385
51,7.7773385
52,7.7773385
53,8.39487
54,8.721797
55,8.721797
56,8.721797
57,8.8388405
58,9.126723
59,9.305816
60,9.305816
61,9.305816
62,9.305816
63,9.305816
64,9.524388
65,9.524388
66,9.524388
67,9.524388
68,10.449797
69,9.524388
70,10.449797
71,10.449797
72,9.524388
73,9.524388
74,9.524388
75,10.2554455
76,9.330037
77,9.330037
78,8.196209
79,8.017116
80,8.510359
81,8.510359
82,8.491452
83,8.491452
84,8.18299
85,9.014818
86,9.014818
87,9.014818
88,8.957906
89,8.862827
90,8.862827
91,8.309229
92,8.1684675
93,8.1684675
94,8.725569
95,8.015544
